CustomName,"1 : agonists, glp1, 1ra","2 : investigat, counterpar, ideatio","3 : victoza, trulicity, themckenzi","4 : rushing, si, thinking","5 : treating, surmount, interestin","6 : saxenda, group, order","7 : meanwhile, shit, diabetics","8 : effective, semaglutid, shortage","9 : private, snapped, pound","10 : metabolic, surgery, poor","11 : triple, groundbrea, lowering","12 : emergency, hypoglycae, hypokit","13 : rates, nonfatal, isch","14 : germany, launched, big","15 : 16, analysis, systematic","16 : weightloss, viral, ways","17 : ada_pubs, strategies, special","18 : cousin, chemical, elilillyan","19 : glyburide, able, low","20 : hopes, admits, musk","21 : zero, omad, carnivore","22 : 88, wt, 72","23 : beef, cause, _daniellew","24 : constipati, 1100, routines","25 : happening, bout, happened","26 : pharmacies, non, hate","27 : thoughts, britain, says","28 : sale, drop, local","29 : fresh, pan, corn","30 : 000, ath, viking"
"11 : triple, groundbrea, lowering",0.67440695,0.66342545,0.62213373,0.48669267,0.64956295,0.54603803,0.52193683,0.5287229,0.50435925,0.6356342,1.0000001,0.36256188,0.3568234,0.566764,0.42997372,0.7018992,0.428606,0.42168015,0.41287357,0.65215397,0.4669695,0.22285682,0.54003775,0.42400086,0.4483344,0.31457824,0.502073,0.13083231,0.23015308,0.51902425
"12 : emergency, hypoglycae, hypokit",0.54908305,0.44042164,0.42599118,0.26803714,0.23976642,0.38085175,0.38698015,0.51267993,0.34872127,0.4582445,0.36256188,1.0000001,0.29501712,0.43439364,0.26379788,0.31474942,0.38901213,0.28932524,0.45361155,0.3618459,0.39310282,0.08520594,0.3049648,0.2322559,0.3551237,0.46181554,0.3363772,0.1823648,0.096346945,0.23922198
"13 : rates, nonfatal, isch",0.589893,0.33041927,0.29269505,0.13146544,0.321527,0.24146132,0.16462144,0.45623052,0.20296565,0.4985137,0.3568234,0.29501712,1.0000002,0.25124598,0.47096568,0.246432,0.5193332,0.3511787,0.28701583,0.39565375,0.48079443,0.071065485,0.16467327,0.14970534,0.1386374,0.1665906,0.25548458,0.019149408,0.048069768,0.2669273
"14 : germany, launched, big",0.5337391,0.6366919,0.4761271,0.5270091,0.442166,0.5760598,0.4635788,0.57526064,0.5142104,0.4095044,0.566764,0.43439364,0.25124598,1.0,0.31000227,0.55481523,0.249832,0.48011926,0.2561909,0.4914828,0.36772704,0.15190844,0.53735876,0.3020967,0.5543967,0.38142854,0.48393372,0.2250964,0.1614016,0.43828166
"15 : 16, analysis, systematic",0.50573266,0.3723848,0.43210664,0.15689284,0.40914008,0.40682834,0.18036652,0.7120079,0.37669808,0.5535944,0.42997372,0.26379788,0.47096568,0.31000227,1.0000001,0.39825547,0.35280287,0.50671494,0.3018483,0.47449678,0.43570936,0.113515265,0.23748906,0.15888292,0.21236435,0.13926281,0.36033374,0.030920902,-0.022335466,0.339092
"16 : weightloss, viral, ways",0.5124606,0.51910335,0.60299456,0.5522569,0.61036557,0.6323389,0.45052487,0.5934553,0.43074316,0.44732535,0.7018992,0.31474942,0.246432,0.55481523,0.39825547,1.0000002,0.21785946,0.39004314,0.2695061,0.5053916,0.36395746,0.21945807,0.44049084,0.45181096,0.3954159,0.32149392,0.38732842,0.22869112,0.39731058,0.44236884
"17 : ada_pubs, strategies, special",0.7696099,0.29947144,0.37493876,0.17192349,0.34087884,0.26207858,0.21223983,0.37940538,0.2527367,0.5535948,0.428606,0.38901213,0.5193332,0.249832,0.35280287,0.21785946,1.0000001,0.2827282,0.3274263,0.45130503,0.5708475,0.08972411,0.21910788,0.20943148,0.21798739,0.21267425,0.24881347,0.13541377,0.025262007,0.3800917
"18 : cousin, chemical, elilillyan",0.4779544,0.5039435,0.5583409,0.20103794,0.42064136,0.67393434,0.25147003,0.59243894,0.45092118,0.43301296,0.42168015,0.28932524,0.3511787,0.48011926,0.50671494,0.39004314,0.2827282,0.99999976,0.26603082,0.50710374,0.36386696,0.12266776,0.37143815,0.2454134,0.33527535,0.29012236,0.48711327,0.21782535,0.10936551,0.3555978
"19 : glyburide, able, low",0.4969655,0.37344706,0.5084778,0.22213218,0.30042082,0.34855688,0.37427863,0.42135662,0.37201685,0.40998256,0.41287357,0.45361155,0.28701583,0.2561909,0.3018483,0.2695061,0.3274263,0.26603082,0.9999999,0.41187027,0.4210127,0.12940894,0.30016714,0.25051093,0.3044173,0.35847983,0.26743782,0.088672966,0.05526822,0.29376125
"20 : hopes, admits, musk",0.6428832,0.5326162,0.64795446,0.4241335,0.74426043,0.5788063,0.4707132,0.6373905,0.5043038,0.59344184,0.65215397,0.3618459,0.39565375,0.4914828,0.47449678,0.5053916,0.45130503,0.50710374,0.41187027,0.9999999,0.44153798,0.29112127,0.47249484,0.46073586,0.45826125,0.3942082,0.488992,0.2759239,0.16132182,0.42350355
"21 : zero, omad, carnivore",0.7363688,0.44340217,0.5953953,0.3229989,0.38424063,0.4098523,0.34982353,0.4888074,0.39553207,0.50660425,0.4669695,0.39310282,0.48079443,0.36772704,0.43570936,0.36395746,0.5708475,0.36386696,0.4210127,0.44153798,1.0,0.07476306,0.3469535,0.37729096,0.330388,0.3186741,0.3123852,0.15426263,0.19048423,0.3964343
"22 : 88, wt, 72",0.17109063,0.12135347,0.24136311,0.24537179,0.26660916,0.27222717,0.15737325,0.14666325,0.15043582,0.18310231,0.22285682,0.08520594,0.071065485,0.15190844,0.113515265,0.21945807,0.08972411,0.12266776,0.12940894,0.29112127,0.07476306,1.0000002,0.13583769,0.18068188,0.10807506,0.009487383,0.093353,0.10994461,0.032675862,0.2559955
"23 : beef, cause, _daniellew",0.47619152,0.5208453,0.5836176,0.6383194,0.40434074,0.6538416,0.80781335,0.4893837,0.9166528,0.37288895,0.54003775,0.3049648,0.16467327,0.53735876,0.23748906,0.44049084,0.21910788,0.37143815,0.30016714,0.47249484,0.3469535,0.13583769,1.0,0.49896565,0.8491343,0.5753865,0.5911129,0.3700783,0.1251483,0.2633231
"24 : constipati, 1100, routines",0.39646924,0.31933397,0.6034714,0.7316055,0.5725354,0.54639775,0.50268346,0.39808905,0.50350606,0.32721686,0.42400086,0.2322559,0.14970534,0.3020967,0.15888292,0.45181096,0.20943148,0.2454134,0.25051093,0.46073586,0.37729096,0.18068188,0.49896565,0.9999998,0.5450034,0.53586984,0.31853443,0.6914797,0.37179458,0.30497664
"25 : happening, bout, happened",0.4731576,0.48340765,0.52403265,0.66256547,0.41130513,0.6211815,0.82544327,0.48357219,0.86052966,0.29238588,0.4483344,0.3551237,0.1386374,0.5543967,0.21236435,0.3954159,0.21798739,0.33527535,0.3044173,0.45826125,0.330388,0.10807506,0.8491343,0.5450034,0.9999999,0.7078756,0.53983206,0.4704099,0.13569602,0.2978539
"26 : pharmacies, non, hate",0.41704524,0.43374175,0.5664686,0.5551444,0.32664382,0.51341164,0.7234497,0.45824438,0.61147285,0.2644081,0.31457824,0.46181554,0.1665906,0.38142854,0.13926281,0.32149392,0.21267425,0.29012236,0.35847983,0.3942082,0.3186741,0.009487383,0.5753865,0.53586984,0.7078756,1.0,0.38140494,0.44138056,0.19292311,0.18374781
"27 : thoughts, britain, says",0.46373904,0.6510517,0.44158563,0.37318784,0.44776344,0.6304995,0.49741966,0.46228492,0.64441884,0.436523,0.502073,0.3363772,0.25548458,0.48393372,0.36033374,0.38732842,0.24881347,0.48711327,0.26743782,0.488992,0.3123852,0.093353,0.5911129,0.31853443,0.53983206,0.38140494,0.99999994,0.23309419,0.0264924,0.32532337
"28 : sale, drop, local",0.21527538,0.11635158,0.31456968,0.5340195,0.3847255,0.48405194,0.32056734,0.270998,0.3881882,0.08683439,0.13083231,0.1823648,0.019149408,0.2250964,0.030920902,0.22869112,0.13541377,0.21782535,0.088672966,0.2759239,0.15426263,0.10994461,0.3700783,0.6914797,0.4704099,0.44138056,0.23309419,1.0,0.31436974,0.18630174
"29 : fresh, pan, corn",0.15294376,0.09488993,0.3054496,0.3067215,0.32985353,0.27532572,0.11840063,0.07798588,0.07770738,0.1054903,0.23015308,0.096346945,0.048069768,0.1614016,-0.022335466,0.39731058,0.025262007,0.10936551,0.05526822,0.16132182,0.19048423,0.032675862,0.1251483,0.37179458,0.13569602,0.19292311,0.0264924,0.31436974,1.0000002,0.12609437
"30 : 000, ath, viking",0.51309067,0.38080227,0.37949413,0.3277344,0.4751178,0.4082061,0.26972815,0.42234766,0.32015932,0.38803485,0.51902425,0.23922198,0.2669273,0.43828166,0.339092,0.44236884,0.3800917,0.3555978,0.29376125,0.42350355,0.3964343,0.2559955,0.2633231,0.30497664,0.2978539,0.18374781,0.32532337,0.18630174,0.12609437,0.9999995
